function_name,category,fixture_id,jpl_status,moshier_status,vsop_elp_meeus_status,jpl_elapsed_ns,moshier_elapsed_ns,vsop_elp_meeus_elapsed_ns,jpl_output_sha256,moshier_output_sha256,vsop_elp_meeus_output_sha256,jpl_vs_moshier_relation,jpl_vs_vsop_relation,moshier_vs_vsop_relation,max_abs_diff_if_numeric,max_rel_diff_if_numeric,notes
jme_body_id_from_name,engine_invariant,modern_bhuj_standard,OK,OK,OK,32075,36154,29571,db22f45745c9df57905d445cc8122e41eb728b25da08a77b8ea2f6214400c7cb,9cd5169c89ee4290c6304ffb73febe6b559501989cac3a4a0a33141a0dcbca95,175648b3c3393cef272be05fb1f51bd7bb0c9f8b479c29158206e177aea452fa,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_body_naif_id,engine_invariant,modern_bhuj_standard,OK,OK,OK,29521,27842,37674,2db51d4745f4c001e972336fbf3efaab1cf2352187ee4978ce6d385ff8c42d03,18afe1afe0e0839afc57a8be078502a2579ea0164e8c181174a625a6b638b82c,e673f32c98eb9cbe214bb4e32b7a096f6f376cf21b676dc853c80320125412e1,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_body_name,engine_invariant,modern_bhuj_standard,OK,OK,OK,79839,77871,77039,43c7eda8ea4c1b21becd125cd52b95e33f0db2096cae064ccaa7028680e53910,9339e2b80816bdfa026e3fd0697ba8a50339d8eff00d99bebef516db78871c57,1eff321e1a8b739b8e9a3b2a9d33ba57cd8fd166690865115c45a621d203bb3b,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_calc,engine_sensitive,modern_bhuj_standard,ERROR_JPL_UNAVAILABLE,OK,OK,164410,515846,5078462,241e1aef40a12612363d708f10e49acbe8b066189fcebdc85375db270956273c,3ffca762ca08ad06ce6b5b9ec3ea4873ba4f10307b79926ee242c50dacf5753b,55bc7231bc0b84dc21b86e18b480c89cc198d73ed66152da5e64cde122bc4821,ERROR_ONE_SIDE,ERROR_ONE_SIDE,DIFFERENT_STRUCTURE,,,
jme_calc_pctr,engine_sensitive,modern_bhuj_standard,ERROR_JPL_UNAVAILABLE,OK,OK,310935,537255,3065901,4db220a6b886137e1cea7d739d8098fbc0e1cb93a23867cf7085890aeaef73f9,63de976dc7fdfd83c53105bc2ec843484c940f96957de534787dd9954ecbf6be,f06f0a01498f1f50f0557cf18594ab4cbc7b564dc790f79137e34d2e26fd8cf7,ERROR_ONE_SIDE,ERROR_ONE_SIDE,DIFFERENT_STRUCTURE,,,
jme_calc_ut,engine_sensitive,modern_bhuj_standard,ERROR_JPL_UNAVAILABLE,OK,OK,297835,844691,10054147,df850910a76b79385009cc206ba1f449cb62724df19e86ddb5972a8e0d7f7b6b,c1a43c34866730af62f3d3a3e56ecda6e5d2ea5cd3be2181baf469f1b54865c2,326de4bd30f8f5e78523eb4be748cc5150f97dd2ee89c2dbf95413e6c6e46c95,ERROR_ONE_SIDE,ERROR_ONE_SIDE,DIFFERENT_STRUCTURE,,,
jme_calendar_is_leap_year,engine_invariant,modern_bhuj_standard,OK,OK,OK,66811,73418,64873,924ee3b6052fdbcf78aa516b351184daf88966476d2145abd95289a3751102bb,ebfeb1dc2ff32aa91ac985c51592c31f6b24db15248c18c30f8f49ea3883c683,1ce547591371228f46d452cf039b4de4d9de69cf395cbf208b5d79f27dc1e1ed,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_centiseconds_difference,engine_invariant,modern_bhuj_standard,OK,OK,OK,59310,50750,68976,0b6fb07d98b94ef3726f7a411c04774ce0bbcf5e254767a2f747b3c7190bbf82,92e3e286a315ef7d5b71e6be6793c018bfdd9df6e8d1b3f0bf939a6436a76bb3,87b9b6f2cb4a5dc4873812f4c0da8f81d02386538d234cbe0867f48139306a9e,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_centiseconds_difference_signed,engine_invariant,modern_bhuj_standard,OK,OK,OK,60367,95103,56759,af0082428370479ccffc73f5db8727938ac6eb57d966076d3022c71ac8e691a9,f2dbbf8e357208e6cf6f5206865eb274730813d617c8446d254ee971758dd1d0,ace4ea57dbf7a946d543a6f28b817c9b40270a38e06d0d2f594c9e7648794f6c,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_centiseconds_normalize,engine_invariant,modern_bhuj_standard,OK,OK,OK,52351,64727,69571,1448a20f2de1e1ed9350df9f2d4ed80089522bd49bf803d5b53085b9b6e242d7,23960584172656ee47e960cff162cd405ffc2c2184a7395b391e0a7435cb2abd,e4f87cefd71a34d59b0c5791b0698ae441da3a679fd1e94426c0ee1ba44c368d,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_centiseconds_round_second,engine_invariant,modern_bhuj_standard,OK,OK,OK,59315,63735,61338,3a86378f69b6434aa399cea433b10ac63d9b0a96f58ae4f211ea717b0e91a63c,775c13f9f851b6c1e658b22e17e86fac0e2f9048f3d0921e1e94d0288b91689f,397b8ca7dee5482a9b6789f318abba1fe834de030bd5fe310d15975be4f1e152,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_centiseconds_to_degree_string,engine_invariant,modern_bhuj_standard,OK,OK,OK,222386,145642,376776,36037bcab5139f8eeb327c9817e9dabdc1b41bf67909111581b1767f9dd49088,82fd332bfc4eee7b464a202cb9f81def584f796ac1e7efe3487e245d2a4f256c,13e50dfa5a47cfc962af96dcfaf394e465dba93e06bb041168ec65379dd42065,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_centiseconds_to_lonlat_string,engine_invariant,modern_bhuj_standard,OK,OK,OK,151191,260518,153831,ecbfc68116d9d6d42853084c790af81ae2ef0424e8b99ff70941799e7437585e,7e14a8e860a08a49645cd9e9ca12b28cd171eac91277350e4d5a032739ee7e1b,2af4c12a10adc0dd7df6701ebce900dd3bb8fdfadfdb55798be15f4ba88301e7,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
jme_centiseconds_to_time_string,engine_invariant,modern_bhuj_standard,OK,OK,OK,163595,154724,182462,99001028315cec3bfb101bc89017c2e26230bad4111a721c4b55cdfef5cf850c,321fb168ec730cf7adecfd712761ae1b84f218c5625957f6170a94327ee24491,9a4521ac27e483745a806827d64a9c4a8f23186b7bce5ccf942cd3707f24cb7c,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,DIFFERENT_STRUCTURE,,,
